Dennis Schroder,Atlanta Hawks,1763400
Jason Richardson,Atlanta Hawks,947276
Jeff Teague,Atlanta Hawks,8000000
Kent Bazemore,Atlanta Hawks,2000000
Kyle Korver,Atlanta Hawks,5746479
Mike Scott,Atlanta Hawks,3333333
Paul Millsap,Atlanta Hawks,18671659
Terran Petteway,Atlanta Hawks,525093
Thabo Sefolosha,Atlanta Hawks,4000000
Tiago Splitter,Atlanta Hawks,9756250
Tim Hardaway Jr.,Atlanta Hawks,1304520
Walter Tavares,Atlanta Hawks,1000000
Amir Johnson,Boston Celtics,12000000
Avery Bradley,Boston Celtics,7730337
Evan Turner,Boston Celtics,3425510
Isaiah Thomas,Boston Celtics,6912869
Jae Crowder,Boston Celtics,6796117
James Young,Boston Celtics,1749840
Jared Sullinger,Boston Celtics,2569260
Jonas Jerebko,Boston Celtics,5000000
Jordan Mickey,Boston Celtics,1170960
Kelly Olynyk,Boston Celtics,2165160
Marcus Smart,Boston Celtics,3431040
Perry Jones,Boston Celtics,2038206
R.J. Hunter,Boston Celtics,1148640
Terry Rozier,Boston Celtics,1824360
Tyler Zeller,Boston Celtics,2616975
Zoran Dragic,Boston Celtics,1706225
Andrea Bargnani,Brooklyn Nets,1362897
Bojan Bogdanovic,Brooklyn Nets,3425510
Chris McCullough,Brooklyn Nets,1140240
Earl Clark,Brooklyn Nets,1185784
Jarrett Jack,Brooklyn Nets,6300000
Joe Johnson,Brooklyn Nets,261894
Rondae Hollis-Jefferson,Brooklyn Nets,1335480
Sean Kilpatrick,Brooklyn Nets,134215
Sergey Karasev,Brooklyn Nets,1599840
Shane Larkin,Brooklyn Nets,1500000
Thaddeus Young,Brooklyn Nets,11235955
Thomas Robinson,Brooklyn Nets,981348
Wayne Ellington,Brooklyn Nets,1500000
Willie Reed,Brooklyn Nets,947276
Aaron Harrison,Charlotte Hornets,525093
Al Jefferson,Charlotte Hornets,13500000
Brian Roberts,Charlotte Hornets,2854940
Cody Zeller,Charlotte Hornets,4204200
Courtney Lee,Charlotte Hornets,5675000
Damien Wilkins,Charlotte Hornets,947276
Frank Kaminsky III,Charlotte Hornets,2612520
Jeremy Lamb,Charlotte Hornets,3034356
Jeremy Lin,Charlotte Hornets,2139000
Jorge Gutierrez,Charlotte Hornets,189455
Kemba Walker,Charlotte Hornets,12000000
Marvin Williams,Charlotte Hornets,7000000
Michael Kidd-Gilchrist,Charlotte Hornets,6331404
Nicolas Batum,Charlotte Hornets,13125306
P.J. Hairston,Charlotte Hornets,1201440
Spencer Hawes,Charlotte Hornets,6110034
Treveon Graham,Charlotte Hornets,525093
Troy Daniels,Charlotte Hornets,947276
Tyler Hansbrough,Charlotte Hornets,947276
Aaron Brooks,Chicago Bulls,2250000
Bobby Portis,Chicago Bulls,1391160
Cristiano Felicio,Chicago Bulls,525093
Derrick Rose,Chicago Bulls,20093064
Doug McDermott,Chicago Bulls,2380440
Jimmy Butler,Chicago Bulls,16407500
Joakim Noah,Chicago Bulls,13400000
Kirk Hinrich,Chicago Bulls,2854940
Mike Dunleavy,Chicago Bulls,4500000
Nikola Mirotic,Chicago Bulls,5543725
Pau Gasol,Chicago Bulls,7448760
Taj Gibson,Chicago Bulls,8500000
Tony Snell,Chicago Bulls,1535880
Iman Shumpert,Cleveland Cavaliers,8988765
Jack Cooley,Cleveland Cavaliers,845059
Kevin Love,Cleveland Cavaliers,19689000
Kyrie Irving,Cleveland Cavaliers,16407501
LeBron James,Cleveland Cavaliers,22970500
Matthew Dellavedova,Cleveland Cavaliers,1147276
Mo Williams,Cleveland Cavaliers,2100000
Sasha Kaun,Cleveland Cavaliers,1276000
Timofey Mozgov,Cleveland Cavaliers,4950000
Tristan Thompson,Cleveland Cavaliers,14260870
Chandler Parsons,Dallas Mavericks,15361500
David Lee,Dallas Mavericks,2085671
Deron Williams,Dallas Mavericks,5378974
Devin Harris,Dallas Mavericks,4053446
Dirk Nowitzki,Dallas Mavericks,8333334
J.J. Barea,Dallas Mavericks,4290000
Jeremy Evans,Dallas Mavericks,1100602
Justin Anderson,Dallas Mavericks,1449000
Raymond Felton,Dallas Mavericks,3950313
Zaza Pachulia,Dallas Mavericks,5200000
Danilo Gallinari,Denver Nuggets,14000000
Darrell Arthur,Denver Nuggets,2814000
Emmanuel Mudiay,Denver Nuggets,3102240
Gary Harris,Denver Nuggets,1584480
Jameer Nelson,Denver Nuggets,4345000
Joffrey Lauvergne,Denver Nuggets,1709719
Jusuf Nurkic,Denver Nuggets,1842000
Kenneth Faried,Denver Nuggets,11235955
Kostas Papanikolaou,Denver Nuggets,800321
Nikola Jokic,Denver Nuggets,1300000
Will Barton,Denver Nuggets,3533333
Wilson Chandler,Denver Nuggets,10449438
Andre Drummond,Detroit Pistons,3272091
Anthony Tolliver,Detroit Pistons,3000000
Aron Baynes,Detroit Pistons,6500000
Cartier Martin,Detroit Pistons,1270964
Danny Granger,Detroit Pistons,2170465
Darrun Hilliard,Detroit Pistons,600000
Jodie Meeks,Detroit Pistons,6270000
Joel Anthony,Detroit Pistons,2500000
Kentavious Caldwell-Pope,Detroit Pistons,2891760
Reggie Bullock,Detroit Pistons,1252440
Reggie Jackson,Detroit Pistons,13913044
Spencer Dinwiddie,Detroit Pistons,845059
Stanley Johnson,Detroit Pistons,2841960
Steve Blake,Detroit Pistons,2170465
Anderson Varejao,Golden State Warriors,289755
Andre Iguodala,Golden State Warriors,11710456
Andrew Bogut,Golden State Warriors,13800000
Brandon Rush,Golden State Warriors,1270964
Draymond Green,Golden State Warriors,14260870
Festus Ezeli,Golden State Warriors,2008748
Harrison Barnes,Golden State Warriors,3873398
Kevon Looney,Golden State Warriors,1131960
Klay Thompson,Golden State Warriors,15501000
Leandro Barbosa,Golden State Warriors,2500000
Marreese Speights,Golden State Warriors,3815000
Shaun Livingston,Golden State Warriors,5543725
Stephen Curry,Golden State Warriors,11370786
Andrew Goudelock,Houston Rockets,200600
Clint Capela,Houston Rockets,1242720
Corey Brewer,Houston Rockets,8229375
Donatas Motiejunas,Houston Rockets,2288205
Dwight Howard,Houston Rockets,22359364
James Harden,Houston Rockets,15756438
K.J. McDaniels,Houston Rockets,3189794
Michael Beasley,Houston Rockets,306527
Montrezl Harrell,Houston Rockets,1000000
Patrick Beverley,Houston Rockets,6486486
Sam Dekker,Houston Rockets,1646400
Terrence Jones,Houston Rockets,2489530
Trevor Ariza,Houston Rockets,8193030
C.J. Miles,Indiana Pacers,4394225
Glenn Robinson III,Indiana Pacers,1100000
Ian Mahinmi,Indiana Pacers,4000000
Joe Young,Indiana Pacers,1007026
Jordan Hill,Indiana Pacers,4000000
Lavoy Allen,Indiana Pacers,4050000
Monta Ellis,Indiana Pacers,10300000
Myles Turner,Indiana Pacers,2357760
Paul George,Indiana Pacers,17120106
Rakeem Christmas,Indiana Pacers,1007026
Rodney Stuckey,Indiana Pacers,7000000
Solomon Hill,Indiana Pacers,1358880
Ty Lawson,Indiana Pacers,211744
Austin Rivers,LA Clippers,3110796
Blake Griffin,LA Clippers,18907726
Chris Paul,LA Clippers,21468695
CJ Wilcox,LA Clippers,1159680
Cole Aldrich,LA Clippers,1100602
J.J. Redick,LA Clippers,7085000
Jamal Crawford,LA Clippers,5675000
